   Date      Time       WNDDIR  WSPD_AVG  WSPD_MAX   AMBIENT    RELHUM     BAROM  RAINFALL   DEW_PNT    X-WIND     SOLAR      OVAL  GNEAGLES       VDA  Straight
  mm/dd/yy  hh:mm:ss       Deg     M/Sec     M/Sec     Deg_C         %      mBar        cm     Deg_C     M/Sec   Wts/M^2     Deg_C     Deg_C     Deg_C     Deg_C
  10-13-21  00:00:51       243       1.0       1.3      10.1     40.50    960.61    0.0000      -2.9       0.5      -0.9      17.5      12.4      14.8      14.3
  10-13-21  00:00:58       239       0.9       1.2      10.0     40.60    960.61    0.0000      -2.9       0.4       3.1      17.5      12.4      14.8      14.3
  10-13-21  00:01:35       229       0.9       1.2      10.0     40.60    960.61    0.0000      -2.9       0.3       1.5      17.5      12.4      14.8      14.3
  10-13-21  00:02:12       231       0.9       1.2       9.9     40.60    960.61    0.0000      -3.0       0.3       1.5      17.5      12.4      14.8      14.3
  10-13-21  00:02:48       231       0.9       1.1       9.9     40.60    960.61    0.0000      -3.0       0.3       1.3      17.5      12.4      14.8      14.3
  10-13-21  00:03:25       232       1.1       1.3       9.9     40.60    960.61    0.0000      -3.0       0.4       0.8      17.5      12.4      14.8      14.3
  10-13-21  00:04:00       232       1.1       1.3       9.8     40.70    960.61    0.0000      -3.1       0.4       1.3      17.5      12.4      14.8      14.3
  10-13-21  00:04:36       234       1.0       1.2       9.8     40.70    960.61    0.0000      -3.1       0.4       1.3      17.5      12.4      14.8      14.3
  10-13-21  00:05:12       233       1.0       1.3       9.7     40.60    960.61    0.0000      -3.2       0.4       1.7      17.4      12.4      14.8      14.3
  10-13-21  00:05:48       233       1.0       1.3       9.7     40.60    960.61    0.0000      -3.2       0.4      -2.3      17.4      12.5      14.8      14.3
  10-13-21  00:06:25       226       1.0       1.4       9.7     40.60    960.61    0.0000      -3.2       0.3       0.4      17.4      12.5      14.7      14.3
  10-13-21  00:07:01       135       0.3       0.4       9.7     40.70    960.61    0.0000      -3.2       0.3       3.3      17.4      12.5      14.7      14.3
  10-13-21  00:07:32       135       0.3       0.4       9.6     40.60    960.61    0.0000      -3.3       0.3      -0.0      17.4      12.6      14.7      14.3
  10-13-21  00:08:02       237       0.2       0.5       9.6     40.40    960.61    0.0000      -3.4       0.1      -6.5      17.4      12.6      14.7      14.3
  10-13-21  00:08:38       271       0.5       0.7       9.6     40.40    960.61    0.0000      -3.4       0.5       2.1      17.4      12.6      14.7      14.3
  10-13-21  00:09:16       264       0.7       1.0       9.6     40.00    960.61    0.0000      -3.5       0.5      -1.5      17.4      12.6      14.7      14.3
  10-13-21  00:09:46       260       1.0       1.2       9.5     40.10    960.61    0.0000      -3.5       0.8      -3.1      17.4      12.6      14.7      14.3
  10-13-21  00:10:22       290       0.8       1.1       9.5     40.30    960.61    0.0000      -3.4       0.8      -2.5      17.3      12.6      14.7      14.3
  10-13-21  00:10:58       277       1.5       1.9       9.5     40.40    960.61    0.0000      -3.4       1.3      -0.2      17.3      12.6      14.7      14.3
  10-13-21  00:11:35       280       1.6       1.9       9.6     40.90    960.61    0.0000      -3.2       1.5      -2.0      17.3      12.5      14.7      14.3
  10-13-21  00:12:11       282       1.6       1.9       9.6     40.60    960.61    0.0000      -3.3       1.5       0.4      17.3      12.5      14.7      14.2
  10-13-21  00:12:46       294       1.1       1.7       9.7     40.70    960.61    0.0000      -3.2       1.1      -2.5      17.3      12.4      14.7      14.2
  10-13-21  00:13:23       305       1.1       1.5       9.7     40.20    960.61    0.0000      -3.3       1.1      -0.5      17.3      12.4      14.7      14.2
  10-13-21  00:14:00       297       1.0       1.3       9.8     40.20    960.61    0.0000      -3.2       1.0      -2.5      17.3      12.4      14.6      14.2
  10-13-21  00:14:37       296       1.2       1.3       9.8     40.60    960.61    0.0000      -3.1       1.2      -1.5      17.3      12.4      14.6      14.2
  10-13-21  00:15:01       296       1.2       1.3       9.8     40.60    960.61    0.0000      -3.1       1.2      -2.3      17.3      12.4      14.6      14.2
  10-13-21  00:15:45       292       1.1       1.4       9.9     41.80    960.61    0.0000      -2.6       1.1      -4.7      17.3      12.3      14.6      14.1
  10-13-21  00:16:22       294       1.0       1.3      10.0     41.40    960.61    0.0000      -2.6       1.0      -3.6      17.3      12.3      14.6      14.1
  10-13-21  00:16:59       287       1.2       1.7      10.0     40.80    960.61    0.0000      -2.8       1.1      -3.8      17.3      12.3      14.6      14.1
  10-13-21  00:17:36       301       1.2       1.5      10.2     41.10    960.61    0.0000      -2.6       1.2      -1.7      17.2      12.3      14.6      14.1
  10-13-21  00:18:12       292       1.1       1.4      10.2     40.60    960.61    0.0000      -2.7       1.1      -4.6      17.2      12.3      14.6      14.1
