,1a,1b,2a,2b,3a,3b,4a,4b,5a,5b,6a,6b
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.06,6.11,5.97,6.19,6.03,6.25,6.1,6.2,6.06,5.88,6.1,5.88
2,12.739999999999998,13.23,12.73,13.190000000000001,12.71,13.23,13.059999999999999,13.23,12.84,12.71,13.07,12.55
3,20.439999999999998,21.259999999999998,20.54,21.26,20.27,21.22,20.909999999999997,21.32,20.68,20.37,21.060000000000002,20.17
4,29.43,30.599999999999998,29.6,30.490000000000002,29.11,30.61,29.739999999999995,30.689999999999998,29.89,29.35,30.380000000000003,29.07
5,40.0,41.589999999999996,39.980000000000004,41.28,39.47,41.769999999999996,40.16,41.239999999999995,40.57,39.870000000000005,41.290000000000006,39.44
6,52.56,53.989999999999995,52.145,53.96,51.885,54.72,52.425,53.669999999999995,53.0,51.99,54.06,51.765
7,67.45,68.63,66.715,69.045,66.405,69.46,66.895,68.46499999999999,67.91,66.16,69.34,66.225
8,85.31,86.125,84.08500000000001,86.92,83.26,86.99499999999999,84.27499999999999,85.92999999999999,85.315,83.22999999999999,87.485,83.58
9,105.84,107.775,104.805,107.86,103.49000000000001,108.15499999999999,105.395,106.32,106.535,103.02999999999999,108.275,104.41
10,129.78,132.425,129.405,132.66,127.09,132.765,129.125,129.57999999999998,131.515,126.21999999999998,132.725,128.69
11,157.6,161.22500000000002,157.185,161.24,155.73000000000002,160.885,157.055,157.32999999999998,160.84499999999997,153.46999999999997,161.575,156.57999999999998
12,188.79999999999998,192.59500000000003,188.515,192.12,187.57000000000002,191.14499999999998,187.865,187.95999999999998,192.57499999999996,183.59999999999997,193.30499999999998,187.1
